id,mapudungun,raiz,gramatica,castellano,ejemplo,imagen,source
0207090908173513,chillkon,chillko–n,verbo,ponerse acuoso (p. ej. la papa),,,Augusta 1903
02071201,chima,chima,sustantivo,sífilis,,,Augusta 1903
020712013513,chiman,chima–n,verbo,tener sífilis,,,Augusta 1903
0207152603263513,chiñüdün,chiñüdü–n,verbo,cernir,,,Augusta 1903
02071526032704,chiñüdwe,chiñüdwe,sustantivo,"cernidor, cedazo",,,Augusta 1903
020716082603,chingküd,chingküd,adjetivo,redondo,,,Augusta 1903
02071927013513,chirwan,chirwa–n,verbo,enredarse,,,Augusta 1903
0207270127352613,chiwawün,chiwaw–ün,verbo,"resonar, hacer eco",,,Augusta 1903
0207270128,chiway,chiway,sustantivo,neblina,,,Augusta 1903
0207270826,chiwkü,chiwkü,sustantivo,tiuque (pájaro),,,Augusta 1903
0207272603080701272609352613,chiwüdkiawülün,chiwüdkiawül–ün,verbo,darle vueltas,,,Augusta 1903
020727260308070127352613,chiwüdkiawün,chiwüdkiaw–ün,verbo,andar dando vueltas,,,Augusta 1903
0207272603192518013513,chiwüdrupan,chiwüdrupa–n,verbo,darse vuelta,,,Augusta 1903
020727260922253513,chiwültun,chiwültu–n,verbo,limpiar de paja,,,Augusta 1903
0217021708263513,chochokün,chochokü–n,verbo,azuzar (trewa),,,FFD 2022
021703,chod,chod,adjetivo,amarillo,,,Augusta 1903
021703,chod,chod,sustantivo,amarillo,,,FFD 2022
02170526,chofü,chofü,adjetivo,flojo,,,Augusta 1903
0217052613,chofün,chofün,sustantivo,flojera,,,Augusta 1903
021705263513,chofün,chofü–n,verbo,"ser flojo, obedecer a alguno con flojera, hacer (un trabajo) con flojera.",,,Augusta 1903
02170817052919250801,chokof ruka,chokof ruka,sustantivo,rincón de la casa,,,Augusta 1903
0217081709043513,chokolen,chokole–n,verbo,estar entumido,,,FFD 2022
021708173513,chokon,choko–n,verbo,entumirse de frío y agua,,,Augusta 1903
0217082612,choküm,choküm,sustantivo,sobrino o sobrina por la hermana,,,Augusta 1903
0217150727352613,choñiwün,choñiw–ün,verbo,"aburrirse, tener tristeza o impaciencia",,,Augusta 1903
02171517080713,choñokin,choñokin,sustantivo,codo,,,FFD 2022
02171608013513,chongkan,chongka–n,verbo,brincar,,,Augusta 1903
0217162612263513,chongümün,chongümü–n,verbo,apagar,,,FFD 2022
0217162612352613,chongümün,chongüm–ün,verbo,apagar,,,Augusta 1903
021716352613,chongün,chong–ün,verbo,"apagarse, extinguirse",,,FFD 2022
0217280804,choyke,choyke,sustantivo,ñandú,,,FFD 2022
0217280804291825192513,choyke purun,choyke purun,sustantivo,danza del ñandú,,,FFD 2022
0217282616043513,choyüngen,choyünge–n,verbo,"ser parido, nacer",,,FFD 2022
021728263513,choyün,choyü–n,verbo,brotar,,,FFD 2022
02250225,chuchu,chuchu,sustantivo,abuela materna,,,Augusta 1903
022508073513,chukin,chuki–n,verbo,"robar, robado, la cosa robada",,,Augusta 1903
0225120904281207290112?,chumleymi am?,chumleymi am?,expresión,¿cómo estás?,,,FFD 2022
02251209043513,chumlen,chumle–n,verbo,¿cómo estar?,,,Augusta 1903
022512352613,chumün,chum–ün,verbo,"¿qué hacer?, hacer algo, sufrir o padecer algo",,,FFD 2022
022518073513,chupin,chupi–n,verbo,decir tonteras,,,FFD 2022
0226090904,chülle,chülle,sustantivo,gaviota,,,Augusta 1903
0226090908261222253513,chüllkümtun,chüllkümtu–n,verbo,abrigarse contra la lluvia,,,Augusta 1903
0226120413,chümen,chümen,sustantivo,grieta en el cutis,,,Augusta 1903
0226160119352613,chüngarün,chüngar–ün,verbo,apuñalar,,,Augusta 1903
02261608171512013513,chüngkoñman,chüngkoñma–n,verbo,rodear,,,Augusta 1903
022622253513,chütun,chütu–n,verbo,abrigarse contra la lluvia,,,Augusta 1903
030106090925,dagllu,dagllu,sustantivo,una especie de camarón,,,Augusta 1903
030108040922253513,dakeltun,dakeltu–n,verbo,pactar,,,Augusta 1903
030109092509352613,dallulün,dallul–ün,verbo,acusar algo ante alguien,,,Augusta 1903
030109092513222608253513,dalluntükun,dalluntüku–n,verbo,acusar a alguno,,,Augusta 1903
03010909253513,dallun,dallu–n,verbo,"acusar, demandar algo",,,FFD 2022
030112073513,damin,dami–n,verbo,colchar,,,Augusta 1903
030118073513,dapin,dapi–n,verbo,cuidar,,,FFD 2022
030122253513,datun,datu–n,verbo,curar exteriormente,,,Augusta 1903
03013513,dan,da–n,verbo,curar exteriormente,,,Augusta 1903
03040225082613253513,dechukünun,dechukünu–n,verbo,dar apoyo,,,Augusta 1903
0304022509043513,dechulen,dechule–n,verbo,estar apoyado,,,Augusta 1903
030405,def,def,sustantivo,soga de ñocha,,,Augusta 1903
03040504,defe,defe,verbo,deuda,,,Augusta 1903
030405043513,defen,defe–n,verbo,vd deber,,,Augusta 1903
030405352613,defün,def–ün,verbo,hacer soga de ñocha o de üweñ,,,Augusta 1903
0304060715,degiñ,degiñ,sustantivo,volcán,,,FFD 2022
030427010909,dewall,dewall,adverbio,finalmente,,,Augusta 1903
0304271201,dewma,dewma,adverbio,ya (en proposiciones afirmativas),,,Augusta 1903
0304271201032616253513,dewmadüngun,dewmadüngu–n,verbo,hacer justicia,,,Augusta 1903
03042712010728010409352613,dewmaiyalün,dewmaiyael–ün,verbo,hacer comida,,,FFD 2022
03042712013513,dewman,dewma–n,verbo,"hacer, terminar, acabar, concluir (un trabajo)",,,FFD 2022
03042726,dewü,dewü,sustantivo,ratón,,,FFD 2022
030427352613,dewün,dew–ün,verbo,"estar hecho, realizarse",,,Augusta 1903
03042801,deya,deya,sustantivo,parienta,,,Augusta 1903
03070217270429020116260909,dichowe changüll,dichowe changüll,sustantivo,dedo índice,,,FFD 2022
030702173513,dichon,dicho–n,verbo,indicar,,,Augusta 1903
0307182609092704,dipüllwe,dipüllwe,sustantivo,pala para detalles,,,FFD 2022
030722253513,ditun,ditu–n,verbo,alcanzar,,,FFD 2022
0307270415,diweñ,diweñ,sustantivo,digüeñes,,,FFD 2022
030727070909352613,diwillün,diwill–ün,verbo,"revolver, menear (la sopa, etc)",,,FFD 2022
03072709090715,diwlliñ,diwlliñ,sustantivo,moscardón,,,Augusta 1903
03073513,din,di–n,verbo,alcanzar,,,FFD 2022
03170908073513,dolkin,dolki–n,verbo,desgranar,,,Augusta 1903
03171217,domo,domo,sustantivo,mujer,,,Augusta 1903
03171217290204,domo che,domo che,sustantivo,mujer,,,Augusta 1903
03171217291826150415,domo püñeñ,domo püñeñ,sustantivo,hija de mamá,,,FFD 2022
03171326,donü,donü,sustantivo,arruga,,,Augusta 1903
031728,doy,doy,adverbio,más,,,Augusta 1903
031728082613253513,doykünun,doykünu–n,verbo,"dar más expresión, acentuar más",,,Augusta 1903
03250112,duam,duam,sustantivo,"voluntad, intención, deseo",,,Augusta 1903
03250112050109352613,duamfalün,duamfal–ün,verbo,"ser deseable, necesario",,,Augusta 1903
0325011208013513,duamkan,duamka–n,verbo,estar ocupado,,,Augusta 1903
03250112261512013513,duamüñman,duamüñma–n,verbo,desear lo de otro,,,Augusta 1903
0325011228043513,duamyen,duamye–n,verbo,necesitar,,,Augusta 1903
03250112352613,duamün,duam–ün,verbo,"necesitar, desear",,,FFD 2022
032509090713041322253513,dullinentun,dullinentu–n,verbo,escoger,,,Augusta 1903
032509090715352613,dulliñün,dulliñ–ün,verbo,escoger,,,Augusta 1903
03250909073513,dullin,dulli–n,verbo,escoger,,,FFD 2022
0325120715,dumiñ,dumiñ,sustantivo,oscuridad,,,Augusta 1903
0325120715,dumiñ,dumiñ,adjetivo,oscuro,,,Augusta 1903
032516253513,dungun,dungu–n,verbo,hablar,,,FFD 2022
0326120709090817,dümillko,dümillko,sustantivo,astillas,,,Augusta 1903
0326150715,düñiñ,düñiñ,sustantivo,ceja,,,FFD 2022
03261625,düngu,düngu,sustantivo,"asunto, novedad, cosa",,,Augusta 1903
0326162509352613,düngulün,düngul–ün,verbo,"hacer hablar o leer (el libro, el papel, la carta); hacer sonar o tocar instrumentos",,,Augusta 1903
032616251512013513,dünguñman,dünguñma–n,verbo,abogar por alguien,,,Augusta 1903
0326162528043513,dünguyen,dünguye–n,verbo,hablar de alguno,,,Augusta 1903
032616253513,düngun,düngu–n,verbo,"hablar, sonar, cantar el gallo",,,Augusta 1903
04020409352613,echelün,echel–ün,verbo,"guardar (p. ej. comida), reservar (comida)",,,FFD 2022
04020727352613,echiwün,echiw–ün,verbo,estornudar,,,FFD 2022
0402253513,echun,echu–n,verbo,acostumbrarse,,,Augusta 1903
0408253513,ekun,eku–n,verbo,honrar,,,Augusta 1903
04090116040207,elangechi,elangechi,adjetivo,"lindo, linda",,,FFD 2022
040901160402072903171217,elangechi domo,elangechi domo,adjetivo,mujer hermosa,,,FFD 2022
04090116040207292704132425,elangechi wentru,elangechi wentru,adjetivo,hombre hermoso,,,FFD 2022
040903250112352613,elduamün,elduam–ün,verbo,"resolverse, decidirse",,,Augusta 1903
0409032616253513,eldüngun,eldüngu–n,verbo,dar encargos,,,Augusta 1903
0409050109352613,elfalün,elfal–ün,verbo,encargar alguna cosa a alguien,,,Augusta 1903
0409082613253513,elkünun,elkünu–n,verbo,"dejar puesto, entregado",,,Augusta 1903
04090901,ella,ella,adverbio,medianamente,,,Augusta 1903
040909010908013513,ellalkan,ellalka–n,verbo,hacer bien algo o a alguien,,,Augusta 1903
040909080109352613,ellkalün,ellkal–ün,verbo,esconder,,,Augusta 1903
